Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg,Role
D P Nannes,"DDV, RCB, CSK",29,4,4.0,28,28.54,Bowler
G R  Napier,MIN,1,15,15.0,1,27.0,Batsman
S P Narine,KKR,162,1046,13.76,163,25.79,Bowler
S  Narwal,"RRO, KKR",7,37,12.33,5,40.4,Bowler
T Natarajan,"KXI, SUN",47,3,,48,31.33,Batsman
A D Nath,"GUJ, KXI, RCB",14,90,9.0,0,,Bowler
Naveen-ul-Haq,LSG,8,16,16.0,11,19.91,Bowler
A M Nayar,"MIN, KXI, PWI, RRO",60,672,17.68,9,35.78,Batsman
J D S Neesham,"DDV, KXI, MIN, RRO",14,92,10.22,8,41.75,Bowler
P Negi,"DDV, CSK, RCB",50,365,14.04,34,27.62,Bowler
A Nehra,"MIN, DDV, PWI, CSK, SUN",88,41,5.86,106,23.41,Bowler
A Nel,MIN,1,0,0.0,1,31.0,Bowler
M G Neser,KXI,1,0,,0,,Batsman
L Ngidi,"CSK, DDV",14,0,,25,17.92,Batsman
R  Ninan,RCB,2,3,3.0,3,21.67,Bowler
A A Noffke,RCB,1,9,9.0,1,40.0,Bowler
Noor Ahmad,GTI,13,8,4.0,16,23.06,Bowler
A Nortje,DDV,40,45,11.25,53,24.15,Bowler
M Ntini,CSK,9,11,11.0,7,34.57,Bowler
N V Ojha,"RRO, DDV, SUN",113,1554,20.72,0,,Batsman
P P Ojha,"DCH, MIN",92,16,1.33,89,26.2,Bowler
J D P Oram,"CSK, RRO, MIN",18,106,13.25,9,38.78,Bowler
P Ray Barman,RCB,1,19,19.0,0,,Batsman
D Padikkal,"RCB, RRO",57,1521,27.65,0,,Batsman
T D Paine,PWI,2,10,5.0,0,,Bowler
I C Pandey,"PWI, CSK",25,0,0.0,18,32.83,Bowler
M K Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",170,3808,29.07,0,,Batsman
